,nom_estacio,data,hour,NO2,has_null,time,total_hours
191904,Gracia-SantGervasi,2017-06-02,00,50.56082753555968,False,2017-06-02T00:00:00,-415656.0
191905,Gracia-SantGervasi,2017-06-02,01,39.56082753555968,False,2017-06-02T01:00:00,-415657.0
191906,Gracia-SantGervasi,2017-06-02,02,51.56082753555968,False,2017-06-02T02:00:00,-415658.0
191907,Gracia-SantGervasi,2017-06-02,03,51.56082753555968,False,2017-06-02T03:00:00,-415659.0
191908,Gracia-SantGervasi,2017-06-02,04,54.56082753555968,False,2017-06-02T04:00:00,-415660.0
191909,Gracia-SantGervasi,2017-06-02,05,79.56082753555968,False,2017-06-02T05:00:00,-415661.0
191910,Gracia-SantGervasi,2017-06-02,06,95.56082753555968,False,2017-06-02T06:00:00,-415662.0
191911,Gracia-SantGervasi,2017-06-02,07,106.56082753555968,False,2017-06-02T07:00:00,-415663.0
191912,Gracia-SantGervasi,2017-06-02,08,89.56082753555968,False,2017-06-02T08:00:00,-415664.0
191913,Gracia-SantGervasi,2017-06-02,09,85.56082753555968,False,2017-06-02T09:00:00,-415665.0
191914,Gracia-SantGervasi,2017-06-02,10,90.56082753555968,False,2017-06-02T10:00:00,-415666.0
191915,Gracia-SantGervasi,2017-06-02,11,93.56082753555968,False,2017-06-02T11:00:00,-415667.0
191916,Gracia-SantGervasi,2017-06-02,12,94.56082753555968,False,2017-06-02T12:00:00,-415668.0
191917,Gracia-SantGervasi,2017-06-02,13,82.56082753555968,False,2017-06-02T13:00:00,-415669.0
191918,Gracia-SantGervasi,2017-06-02,14,72.56082753555968,False,2017-06-02T14:00:00,-415670.0
191919,Gracia-SantGervasi,2017-06-02,15,82.56082753555968,False,2017-06-02T15:00:00,-415671.0
191920,Gracia-SantGervasi,2017-06-02,16,72.56082753555968,False,2017-06-02T16:00:00,-415672.0
191921,Gracia-SantGervasi,2017-06-02,17,80.56082753555968,False,2017-06-02T17:00:00,-415673.0
191922,Gracia-SantGervasi,2017-06-02,18,72.56082753555968,False,2017-06-02T18:00:00,-415674.0
191923,Gracia-SantGervasi,2017-06-02,19,84.56082753555968,False,2017-06-02T19:00:00,-415675.0
191924,Gracia-SantGervasi,2017-06-02,20,61.56082753555968,False,2017-06-02T20:00:00,-415676.0
191925,Gracia-SantGervasi,2017-06-02,21,66.56082753555968,False,2017-06-02T21:00:00,-415677.0
191926,Gracia-SantGervasi,2017-06-02,22,71.56082753555968,False,2017-06-02T22:00:00,-415678.0
191927,Gracia-SantGervasi,2017-06-02,23,70.56082753555968,False,2017-06-02T23:00:00,-415679.0
191928,Ciutadella,2017-06-02,00,60.56082753555968,False,2017-06-02T00:00:00,-415656.0
191929,Ciutadella,2017-06-02,01,54.56082753555968,False,2017-06-02T01:00:00,-415657.0
191930,Ciutadella,2017-06-02,02,62.56082753555968,False,2017-06-02T02:00:00,-415658.0
191931,Ciutadella,2017-06-02,03,56.56082753555968,False,2017-06-02T03:00:00,-415659.0
191932,Ciutadella,2017-06-02,04,56.56082753555968,False,2017-06-02T04:00:00,-415660.0
191933,Ciutadella,2017-06-02,05,70.56082753555968,False,2017-06-02T05:00:00,-415661.0
191934,Ciutadella,2017-06-02,06,72.56082753555968,False,2017-06-02T06:00:00,-415662.0
191935,Ciutadella,2017-06-02,07,94.56082753555968,False,2017-06-02T07:00:00,-415663.0
191936,Ciutadella,2017-06-02,08,88.56082753555968,False,2017-06-02T08:00:00,-415664.0
191937,Ciutadella,2017-06-02,09,87.56082753555968,False,2017-06-02T09:00:00,-415665.0
191938,Ciutadella,2017-06-02,10,67.56082753555968,False,2017-06-02T10:00:00,-415666.0
191939,Ciutadella,2017-06-02,11,43.56082753555968,False,2017-06-02T11:00:00,-415667.0
191940,Ciutadella,2017-06-02,12,41.56082753555968,False,2017-06-02T12:00:00,-415668.0
191941,Ciutadella,2017-06-02,13,36.56082753555968,False,2017-06-02T13:00:00,-415669.0
191942,Ciutadella,2017-06-02,14,38.56082753555968,False,2017-06-02T14:00:00,-415670.0
191943,Ciutadella,2017-06-02,15,35.56082753555968,False,2017-06-02T15:00:00,-415671.0
191944,Ciutadella,2017-06-02,16,35.56082753555968,False,2017-06-02T16:00:00,-415672.0
191945,Ciutadella,2017-06-02,17,35.56082753555968,False,2017-06-02T17:00:00,-415673.0
191946,Ciutadella,2017-06-02,18,45.56082753555968,False,2017-06-02T18:00:00,-415674.0
191947,Ciutadella,2017-06-02,19,47.56082753555968,False,2017-06-02T19:00:00,-415675.0
191948,Ciutadella,2017-06-02,20,39.56082753555968,False,2017-06-02T20:00:00,-415676.0
191949,Ciutadella,2017-06-02,21,37.56082753555968,False,2017-06-02T21:00:00,-415677.0
191950,Ciutadella,2017-06-02,22,63.56082753555968,False,2017-06-02T22:00:00,-415678.0
191951,Ciutadella,2017-06-02,23,68.56082753555968,False,2017-06-02T23:00:00,-415679.0
191952,Eixample,2017-06-02,00,59.56082753555968,False,2017-06-02T00:00:00,-415656.0
191953,Eixample,2017-06-02,01,48.56082753555968,False,2017-06-02T01:00:00,-415657.0
191954,Eixample,2017-06-02,02,50.56082753555968,False,2017-06-02T02:00:00,-415658.0
191955,Eixample,2017-06-02,03,61.56082753555968,False,2017-06-02T03:00:00,-415659.0
