timestamp,NO2,month,day,hour
376944,0.19614529495451402,1,1,0
376945,0.2849435411443998,1,1,1
376946,0.35037382781063137,1,1,2
376947,0.359721011620093,1,1,3
376948,0.2569019897160148,1,1,4
376949,0.17277733543085985,1,1,5
376950,0.1307150082882824,1,1,6
376951,0.1447357840024749,1,1,7
376952,0.12136782447882075,1,1,8
376953,0.15408296781193656,1,1,9
376954,0.11669423257408991,1,1,10
376955,0.1307150082882824,1,1,11
376956,0.1494093759072057,1,1,12
376957,0.15875655971666738,1,1,13
376958,0.19147170304978317,1,1,14
376959,0.19147170304978317,1,1,15
376960,0.19147170304978317,1,1,16
376961,0.2288604382876298,1,1,17
376962,0.2615755816207456,1,1,18
376963,0.3083115006680539,1,1,19
376964,0.35037382781063137,1,1,20
376965,0.3784153792390163,1,1,21
376966,0.36906819542955466,1,1,22
376967,0.3830889711437471,1,1,23
376968,0.4503081139723874,1,2,0
376969,0.39422501111561753,1,2,1
376970,0.35216268397304007,1,2,2
376971,0.31944754063992425,1,2,3
376972,0.3241211325446551,1,2,4
376973,0.2820588054020776,1,2,5
376974,0.3101003568304626,1,2,6
376975,0.4175929706392717,1,2,7
376976,0.4549817058771182,1,2,8
376977,0.46900248159131075,1,2,9
376978,0.4456345220676566,1,2,10
376979,0.3428155001635784,1,2,11
376980,0.2773852134973468,1,2,12
376981,0.2586908458784235,1,2,13
376982,0.2914059892115393,1,2,14
376983,0.3381419082588476,1,2,15
376984,0.3334683163541168,1,2,16
376985,0.4175929706392717,1,2,17
376986,0.4596552977818491,1,2,18
376987,0.5063912168291573,1,2,19
376988,0.515738400638619,1,2,20
376989,0.48769684921023404,1,2,21
376990,0.4503081139723874,1,2,22
376991,0.42226656254400247,1,2,23
376992,0.3643411245949968,1,3,0
376993,0.35499394078553514,1,3,1
376994,0.3409731650713427,1,3,2
376995,0.3176052055476885,1,3,3
376996,0.28021647030984187,1,3,4
376997,0.2428277350719952,1,3,5
376998,0.27086928650038017,1,3,6
376999,0.36901471649972756,1,3,7
377000,0.3923826760233817,1,3,8
377001,0.3877090841186509,1,3,9
377002,0.42042422745176666,1,3,10
377003,0.467160146499075,1,3,11
377004,0.4064034517375742,1,3,12
377005,0.3129316136429577,1,3,13
377006,0.30358442983349604,1,3,14
377007,0.30825802173822686,1,3,15
377008,0.2895636541193035,1,3,16
377009,0.23348055126253356,1,3,17
377010,0.3129316136429577,1,3,18
377011,0.4858545141179983,1,3,19
377012,0.3643411245949968,1,3,20
377013,0.411077043642305,1,3,21
377014,0.4718337384038058,1,3,22
377015,0.32695238935715015,1,3,23
377016,0.354924046985019,1,4,0
377017,0.36427123079448065,1,4,1
377018,0.3923127822228656,1,4,2
377019,0.34090327127082654,1,4,3
377020,0.3969863741275964,1,4,4
377021,0.4811110284127514,1,4,5
377022,0.5371941312695213,1,4,6
377023,0.602624417935753,1,4,7
377024,0.5886036422215605,1,4,8
377025,0.6493603369830613,1,4,9
377026,0.5325205393647905,1,4,10
377027,0.354924046985019,1,4,11
377028,0.3222089036519032,1,4,12
377029,0.4110071498417889,1,4,13
377030,0.40165996603232723,1,4,14
377031,0.46709025269855886,1,4,15
377032,0.4951318041269439,1,4,16
377033,0.5512149069837138,1,4,17
377034,0.6540339288877921,1,4,18
377035,0.6259923774594072,1,4,19
377036,0.6400131531735996,1,4,20
377037,0.7194642155540237,1,4,21
377038,0.6259923774594072,1,4,22
377039,0.5886036422215605,1,4,23
377040,0.6837457922916932,1,5,0
377041,0.6416834651491157,1,5,1
377042,0.6229890975301924,1,5,2
377043,0.6136419137207307,1,5,3
377044,0.6136419137207307,1,5,4
377045,0.5902739541970766,1,5,5
377046,0.5949475461018074,1,5,6
377047,0.6042947299112691,1,5,7
377048,0.6136419137207307,1,5,8
377049,0.5856003622923457,1,5,9
377050,0.5996211380065383,1,5,10
377051,0.5575588108639608,1,5,11
377052,0.4874549322929983,1,5,12
377053,0.5201700756261142,1,5,13
377054,0.5575588108639608,1,5,14
377055,0.5201700756261142,1,5,15
377056,0.5622324027686916,1,5,16
377057,0.6416834651491157,1,5,17
377058,0.6930929761011548,1,5,18
377059,0.8566686927667339,1,5,19
377060,0.7445024870531939,1,5,20
377061,0.6837457922916932,1,5,21
377062,0.6977665680058857,1,5,22
377063,0.6650514246727698,1,5,23
377064,0.6477903041444669,1,6,0
377065,0.6290959365255436,1,6,1
377066,0.6150751608113512,1,6,2
377067,0.6010543850971587,1,6,3
377068,0.5870336093829661,1,6,4
377069,0.5776864255735045,1,6,5
377070,0.5402976903356579,1,6,6
377071,0.4842145874788879,1,6,7
