timestamp,NO2,month,day,hour
376944,0.13150992160579236,1,1,0
376945,0.2053398661356256,1,1,1
376946,0.20212986854737197,1,1,2
376947,0.2278098492534009,1,1,3
376948,0.17965988542959666,1,1,4
376949,0.16360989748832855,1,1,5
376950,0.10903993848801702,1,1,6
376951,0.14755990954706044,1,1,7
376952,0.1058299408997634,1,1,8
376953,0.10261994331150978,1,1,9
376954,0.11866993125277787,1,1,10
376955,0.11866993125277787,1,1,11
376956,0.15397990472356768,1,1,12
376957,0.20212986854737197,1,1,13
376958,0.17644988784134302,1,1,14
376959,0.17323989025308942,1,1,15
376960,0.20212986854737197,1,1,16
376961,0.243859837194669,1,1,17
376962,0.3241097769010095,1,1,18
376963,0.2952197986067269,1,1,19
376964,0.2631198227241907,1,1,20
376965,0.27274981548895155,1,1,21
376966,0.40114971901909635,1,1,22
376967,0.36262974796005293,1,1,23
376968,0.1905185314623615,1,2,0
376969,0.21940850975664405,1,2,1
376970,0.18730853387410787,1,2,2
376971,0.2097785169918832,1,2,3
376972,0.17767854110934703,1,2,4
376973,0.23866849528616577,1,2,5
376974,0.2996584494629845,1,2,6
376975,0.39595837711059306,1,2,7
376976,0.3638584012280569,1,2,8
376977,0.30607844463949174,1,2,9
376978,0.2836084615217164,1,2,10
376979,0.3028684470512381,1,2,11
376980,0.3253384301690134,1,2,12
376981,0.32212843258075985,1,2,13
376982,0.26434847599219474,1,2,14
376983,0.2836084615217164,1,2,15
376984,0.3157084374042526,1,2,16
376985,0.4023783722871003,1,2,17
376986,0.37990838916932496,1,2,18
376987,0.4537383336991583,1,2,19
376988,0.49225830475820176,1,2,20
376989,0.39274837952233943,1,2,21
376990,0.3702783964045641,1,2,22
376991,0.3766983915810714,1,2,23
376992,0.32086304798506043,1,3,0
376993,0.2791330793377634,1,3,1
376994,0.25666309621998806,1,3,2
376995,0.20530313480793017,1,3,3
376996,0.18283315169015485,1,3,4
376997,0.1924631444549157,1,3,5
376998,0.28555307451427064,1,3,6
376999,0.3337030383380749,1,3,7
377000,0.39469299251489365,1,3,8
377001,0.37543300698537196,1,3,9
377002,0.4588929442799661,1,3,10
377003,0.4139529780444154,1,3,11
377004,0.3337030383380749,1,3,12
377005,0.30802305763204596,1,3,13
377006,0.2887630721025242,1,3,14
377007,0.349753026279343,1,3,15
377008,0.3658030142206111,1,3,16
377009,0.35296302386759665,1,3,17
377010,0.4588929442799661,1,3,18
377011,0.3658030142206111,1,3,19
377012,0.31444305280855317,1,3,20
377013,0.3272830431615677,1,3,21
377014,0.26950308657300254,1,3,22
377015,0.26950308657300254,1,3,23
377016,0.27587507607514533,1,4,0
377017,0.18920514119229767,1,4,1
377018,0.1956251363688049,1,4,2
377019,0.18278514601579043,1,4,3
377020,0.18599514360404407,1,4,4
377021,0.2437751001926092,1,4,5
377022,0.3368650302519642,1,4,6
377023,0.5423048759001958,1,4,7
377024,0.3368650302519642,1,4,8
377025,0.3593350133697395,1,4,9
377026,0.3432850254284714,1,4,10
377027,0.29192506401641344,1,4,11
377145,0.5025589732839251,1,9,9
377146,0.5346589491664613,1,9,10
377147,0.37736906734203396,1,9,11
377148,0.29711912763569337,1,9,12
377149,0.39662905287155564,1,9,13
377150,0.42551903116583817,1,9,14
377151,0.3227991083417223,1,9,15
377152,0.30995911798870784,1,9,16
377153,0.3388490962829904,1,9,17
377154,0.3356390986947368,1,9,18
377155,0.30353912281220063,1,9,19
377156,0.2650191517531572,1,9,20
377157,0.30995911798870784,1,9,21
377158,0.3388490962829904,1,9,22
377159,0.30353912281220063,1,9,23
377160,0.20258381923169588,1,10,0
377161,0.18011383611392057,1,10,1
377162,0.17690383852566693,1,10,2
377163,0.17048384334915972,1,10,3
377164,0.18011383611392057,1,10,4
377165,0.17690383852566693,1,10,5
377166,0.2571537782320074,1,10,6
377167,0.40481366729167384,1,10,7
377168,0.3823436841738985,1,10,8
377169,0.369503693820884,1,10,9
377170,0.2956737492910508,1,10,10
377171,0.32135372999707973,1,10,11
377172,0.37592368899739126,1,10,12
377173,0.38876367935040573,1,10,13
377174,0.4112336624681811,1,10,14
377175,0.3053037420558116,1,10,15
377176,0.3181437324088261,1,10,16
377177,0.369503693820884,1,10,17
377178,0.41765365764468837,1,10,18
377179,0.3823436841738985,1,10,19
377180,0.3630836986443768,1,10,20
377181,0.5107435877040433,1,10,21
377182,0.5492635587630867,1,10,22
377183,0.5942035249986374,1,10,23
377184,0.5512906807260207,1,11,0
377185,0.4261007747841295,1,11,1
377186,0.4036307916663542,1,11,2
377187,0.397210796489847,1,11,3
377188,0.39400079890159334,1,11,4
377189,0.32017085437176007,1,11,5
377190,0.33301084472477455,1,11,6
377191,0.38116080854857887,1,11,7
377192,0.42931077237238313,1,11,8
377193,0.4068407892546078,1,11,9
377194,0.31375085919525286,1,11,10
377195,0.3362208423130282,1,11,11
377196,0.3362208423130282,1,11,12
377197,0.29128087607747755,1,11,13
377198,0.31375085919525286,1,11,14
377199,0.31375085919525286,1,11,15
377200,0.43252076996063676,1,11,16
377201,0.46141074825491935,1,11,17
377202,0.3747408133720716,1,11,18
377203,0.3843708061368325,1,11,19
377204,0.3907908013133397,1,11,20
377205,0.38116080854857887,1,11,21
377206,0.3843708061368325,1,11,22
377207,0.3907908013133397,1,11,23
377208,0.42309624023738884,1,12,0
377209,0.36210628606057,1,12,1
377210,0.36852628123707726,1,12,2
377211,0.2882763415307368,1,12,3
377212,0.28185634635422957,1,12,4
377213,0.3845762691783453,1,12,5
377214,0.31395632223676573,1,12,6
377215,0.3396363029427947,1,12,7
377216,0.3942062619431062,1,12,8
377217,0.3492662957075555,1,12,9
377218,0.2979063342954976,1,12,10
377219,0.3396363029427947,1,12,11
377220,0.3781562740018381,1,12,12
377221,0.37173627882533083,1,12,13
377222,0.35247629329580915,1,12,14
377223,0.3556862908840628,1,12,15
377224,0.3974162595313598,1,12,16
377225,0.3942062619431062,1,12,17
377226,0.46161621129643227,1,12,18
377227,0.4359362305904033,1,12,19
377228,0.47124620406119316,1,12,20
377229,0.496926184767222,1,12,21
377230,0.4487762209434178,1,12,22
377231,0.5161861702967437,1,12,23
377232,0.376317780296418,1,13,0
377233,0.2768078550605558,1,13,1
377234,0.3024878357665848,1,13,2
377235,0.24149788158976596,1,13,3
377236,0.22544789364849785,1,13,4
377237,0.23828788400151232,1,13,5
377238,0.21260790329548337,1,13,6
377239,0.20939790570722974,1,13,7
377240,0.22223789606024424,1,13,8
377241,0.23507788641325872,1,13,9
377242,0.25754786953103403,1,13,10
377243,0.28001785264880935,1,13,11
377244,0.2768078550605558,1,13,12
377245,0.3121178285313456,1,13,13
377246,0.3024878357665848,1,13,14
377247,0.2671778622957949,1,13,15
377248,0.283227850237063,1,13,16
377249,0.3281678164726137,1,13,17
377250,0.37310778270816436,1,13,18
377251,0.4501477248262512,1,13,19
377252,0.4629877151792657,1,13,20
377253,0.418047748943715,1,13,21
377254,0.4405177320614903,1,13,22
377255,0.38915777064943247,1,13,23
