timestamp,NO2,month,day,hour
376944,0.1434011663466851,1,1,0
376945,0.2135569608417553,1,1,1
376946,0.1912346625933239,1,1,2
376947,0.1625345648453406,1,1,3
376948,0.13702336684713323,1,1,4
376949,0.10513436934937405,1,1,5
376950,0.10194546959959813,1,1,6
376951,0.0987565698498222,1,1,7
376952,0.10832326909914997,1,1,8
376953,0.10194546959959813,1,1,9
376954,0.10194546959959813,1,1,10
376955,0.1147010685987018,1,1,11
376956,0.13702336684713323,1,1,12
376957,0.14977896584623693,1,1,13
376958,0.15296786559601283,1,1,14
376959,0.1434011663466851,1,1,15
376960,0.1625345648453406,1,1,16
376961,0.20399026159242756,1,1,17
376962,0.24863485808929042,1,1,18
376963,0.25820155733861816,1,1,19
376964,0.27414605608749776,1,1,20
376965,0.3251684520839125,1,1,21
376966,0.3411129508327921,1,1,22
376967,0.3251684520839125,1,1,23
376968,0.2530443357339647,1,2,0
376969,0.24985543598418877,1,2,1
376970,0.19883303998777405,1,2,2
376971,0.16694404249001485,1,2,3
376972,0.17332184198956668,1,2,4
376973,0.2083997392371018,1,2,5
376974,0.2562332354837406,1,2,6
376975,0.31363343097970714,1,2,7
376976,0.34552242847746634,1,2,8
376977,0.32957792972858674,1,2,9
376978,0.27855553373217207,1,2,10
376979,0.2530443357339647,1,2,11
376980,0.24666653623441284,1,2,12
376981,0.2434776364846369,1,2,13
376982,0.2275331377357573,1,2,14
376983,0.3008778319806034,1,2,15
376984,0.3327668294783626,1,2,16
376985,0.3391446289779145,1,2,17
376986,0.35190022797701814,1,2,18
376987,0.35827802747657,1,2,19
376988,0.36146692722634594,1,2,20
376989,0.3391446289779145,1,2,21
376990,0.3550891277267941,1,2,22
376991,0.30406673173037935,1,2,23
376992,0.2613539671788298,1,3,0
376993,0.2326538694308466,1,3,1
376994,0.21989827043174293,1,3,2
376995,0.18163147343443187,1,3,3
376996,0.16249807493577634,1,3,4
376997,0.16249807493577634,1,3,5
376998,0.23584276918062252,1,3,6
376999,0.29643186442636493,1,3,7
377000,0.39528775666941846,1,3,8
377001,0.40485445591874625,1,3,9
377002,0.3378875611734519,1,3,10
377003,0.334698661423676,1,3,11
377004,0.26773176667838167,1,3,12
377005,0.26773176667838167,1,3,13
377006,0.28048736567748533,1,3,14
377007,0.2613539671788298,1,3,15
377008,0.33150976167390006,1,3,16
377009,0.34745426042277966,1,3,17
377010,0.36339875917165926,1,3,18
377011,0.31556526292502046,1,3,19
377012,0.35702095967210745,1,3,20
