data,hour,NO2
2023-11-13,3,42.97845011988658
2023-11-13,4,35.97845011988658
2023-11-13,5,33.97845011988658
2023-11-13,6,27.97845011988658
2023-11-13,7,37.97845011988658
2023-11-13,8,31.97845011988658
2023-11-13,9,67.97845011988657
2023-11-13,10,40.97845011988658
2023-11-13,11,49.97845011988658
2023-11-13,12,70.97845011988659
2023-11-13,13,66.97845011988657
2023-11-13,14,54.97845011988658
2023-11-13,15,48.97845011988658
2023-11-13,16,57.97845011988658
2023-11-13,17,66.97845011988657
2023-11-13,18,87.97845011988659
2023-11-13,19,86.97845011988659
2023-11-13,20,52.97845011988658
2023-11-13,21,60.97845011988658
2023-11-13,22,76.97845011988659
2023-11-13,23,68.97845011988657
2023-11-13,24,39.97845011988658
2023-11-14,1,32.68876896693155
2023-11-14,2,21.688768966931548
2023-11-14,3,12.688768966931548
2023-11-14,4,10.688768966931548
2023-11-14,5,10.688768966931548
2023-11-14,6,11.688768966931548
2023-11-14,7,12.688768966931548
2023-11-14,8,19.688768966931548
2023-11-14,9,28.688768966931548
2023-11-14,10,38.68876896693155
2023-11-14,11,23.688768966931548
2023-11-14,12,24.688768966931548
2023-11-14,13,37.68876896693155
2023-11-14,14,19.688768966931548
2023-11-14,15,19.688768966931548
2023-11-14,16,45.68876896693155
2023-11-14,17,53.68876896693155
2023-11-14,18,49.68876896693155
2023-11-14,19,30.688768966931548
2023-11-14,20,31.688768966931548
2023-11-14,21,40.68876896693155
2023-11-14,22,44.68876896693155
2023-11-14,23,43.68876896693155
2023-11-14,24,25.688768966931548
2023-11-15,1,20.55666433271097
2023-11-15,2,15.556664332710966
2023-11-15,3,15.556664332710966
2023-11-15,4,17.556664332710966
2023-11-15,5,19.55666433271097
2023-11-15,6,24.55666433271096
2023-11-15,7,29.55666433271096
2023-11-15,8,40.55666433271096
2023-11-15,9,51.55666433271096
2023-11-15,10,47.55666433271096
2023-11-15,11,69.55666433271097
2023-11-15,12,56.55666433271096
2023-11-15,13,45.55666433271096
2023-11-15,14,55.55666433271096
2023-11-15,15,42.55666433271096
2023-11-15,16,41.55666433271096
2023-11-15,17,43.55666433271096
2023-11-15,18,49.55666433271096
2023-11-15,19,53.55666433271096
2023-11-15,20,70.55666433271097
2023-11-15,21,72.55666433271097
2023-11-15,22,78.55666433271097
2023-11-15,23,52.55666433271096
2023-11-15,24,33.55666433271096
2023-11-16,1,12.146120478870008
2023-11-16,2,8.146120478870007
2023-11-16,3,10.146120478870008
2023-11-16,4,17.14612047887001
2023-11-16,5,16.146120478870007
2023-11-16,6,23.14612047887001
2023-11-16,7,32.14612047887001
2023-11-16,8,32.14612047887001
2023-11-16,9,57.14612047887001
2023-11-16,10,56.14612047887001
2023-11-16,11,50.14612047887001
2023-11-16,12,36.14612047887001
2023-11-16,13,39.14612047887001
2023-11-16,14,33.14612047887001
2023-11-16,15,13.146120478870008
2023-11-16,16,11.146120478870008
2023-11-16,17,14.146120478870008
2023-11-16,18,23.14612047887001
2023-11-16,19,53.14612047887001
2023-11-16,20,64.14612047887
2023-11-16,21,46.14612047887001
2023-11-16,22,21.14612047887001
2023-11-16,23,24.14612047887001
2023-11-16,24,22.14612047887001
2023-11-17,1,41.25615912306324
2023-11-17,2,41.25615912306324
2023-11-17,3,40.25615912306324
2023-11-17,4,19.25615912306323
2023-11-17,5,15.256159123063233
2023-11-17,6,15.256159123063233
2023-11-17,7,23.25615912306323
2023-11-17,8,39.25615912306324
2023-11-17,9,50.25615912306324
2023-11-17,10,39.25615912306324
2023-11-17,11,36.25615912306324
2023-11-17,12,31.256159123063235
2023-11-17,13,45.25615912306324
2023-11-17,14,61.25615912306324
2023-11-17,15,32.256159123063235
2023-11-17,16,26.256159123063235
2023-11-17,17,34.256159123063235
2023-11-17,18,64.25615912306323
2023-11-17,19,52.25615912306324
2023-11-17,20,38.25615912306324
2023-11-17,21,36.25615912306324
2023-11-17,22,34.256159123063235
2023-11-17,23,49.25615912306324
2023-11-17,24,37.25615912306324
2023-11-18,1,35.7944462114272
2023-11-18,2,28.7944462114272
2023-11-18,3,27.7944462114272
2023-11-18,4,26.7944462114272
2023-11-18,5,26.7944462114272
2023-11-18,6,30.7944462114272
2023-11-18,7,29.7944462114272
2023-11-18,8,36.7944462114272
2023-11-18,9,38.7944462114272
2023-11-18,10,35.7944462114272
2023-11-18,11,27.7944462114272
2023-11-18,12,32.7944462114272
2023-11-18,13,40.7944462114272
2023-11-18,14,35.7944462114272
2023-11-18,15,34.7944462114272
2023-11-18,16,33.7944462114272
2023-11-18,17,39.7944462114272
2023-11-18,18,46.7944462114272
2023-11-18,19,59.7944462114272
2023-11-18,20,63.7944462114272
2023-11-18,21,77.7944462114272
2023-11-18,22,68.7944462114272
2023-11-18,23,82.7944462114272
2023-11-18,24,76.7944462114272
2023-11-19,1,52.63562931681355
2023-11-19,2,37.63562931681355
2023-11-19,3,24.635629316813542
2023-11-19,4,40.63562931681355
2023-11-19,5,25.635629316813542
2023-11-19,6,29.635629316813542
2023-11-19,7,34.63562931681355
2023-11-19,8,45.63562931681355
2023-11-19,9,45.63562931681355
2023-11-19,10,45.63562931681355
2023-11-19,11,41.63562931681355
2023-11-19,12,42.63562931681355
2023-11-19,13,47.63562931681355
2023-11-19,14,73.63562931681355
2023-11-19,15,83.63562931681355
2023-11-19,16,71.63562931681355
2023-11-19,17,62.63562931681355
2023-11-19,18,92.63562931681356
2023-11-19,19,54.63562931681355
2023-11-19,20,51.63562931681355
2023-11-19,21,60.63562931681355
2023-11-19,22,84.63562931681355
2023-11-19,23,90.63562931681356
2023-11-19,24,71.63562931681355
2023-11-20,1,47.001103362085786
2023-11-20,2,43.001103362085786